Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Supreme Commander,X360,2008.0,Strategy,505 Games,0.07,0.01,0.0,0.01,0.09,56.0,24.0,5.7,19.0,Hellbent Games,3
Breath of Fire III,PS,1997.0,Role-Playing,Capcom,0.29,0.19,0.46,0.07,1.0,-1.0,-1.0,-1,-1.0,-1,-1
Blood Omen 2,PS2,2002.0,Action,Eidos Interactive,0.19,0.15,0.0,0.05,0.39,67.0,18.0,8.8,19.0,Crystal Dynamics,2
Dora the Explorer: Super Star Adventures,GBA,2004.0,Adventure,Game Factory,0.17,0.06,0.0,0.0,0.24,-1.0,-1.0,-1,-1.0,-1,-1
Generation of Chaos,PSP,2005.0,Role-Playing,Midas Interactive Entertainment,0.05,0.0,0.0,0.0,0.06,60.0,29.0,7.7,18.0,Idea Factory,1
The Urbz: Sims in the City,PS2,2004.0,Simulation,Electronic Arts,0.52,0.95,0.0,0.29,1.76,70.0,25.0,8.2,24.0,Maxis,1
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.7,PS3,2015.0,Misc,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,-1.0,-1.0,-1,-1.0,-1,-1
Major League Baseball 2K12,X360,2012.0,Sports,Take-Two Interactive,0.47,0.0,0.0,0.03,0.5,68.0,19.0,6.4,22.0,Visual Concepts,0
The Lord of the Rings: The Two Towers,GBA,2002.0,Action,Electronic Arts,0.53,0.2,0.0,0.01,0.74,-1.0,-1.0,-1,-1.0,-1,-1
Medieval Moves: Deadmund's Quest,PS3,2011.0,Action,Sony Computer Entertainment,0.13,0.11,0.0,0.04,0.28,61.0,41.0,6.5,17.0,Zindagi Games,3
Project X Zone 2: Brave New World,3DS,2015.0,Role-Playing,Namco Bandai Games,0.05,0.03,0.08,0.01,0.17,-1.0,-1.0,-1,-1.0,-1,-1
Shin Megami Tensei: Persona 3 (jp sales),PS2,2006.0,Role-Playing,Tecmo Koei,0.0,0.0,0.21,0.0,0.21,-1.0,-1.0,-1,-1.0,-1,-1
Shadow Tower,PS,1998.0,Role-Playing,From Software,0.01,0.01,0.07,0.01,0.1,-1.0,-1.0,-1,-1.0,-1,-1
Karaoke Revolution,X360,2009.0,Misc,Konami Digital Entertainment,0.12,0.0,0.0,0.01,0.12,62.0,5.0,tbd,-1.0,Blitz Games Studios,1
Call of Duty 2,PC,2005.0,Shooter,Activision,0.0,0.05,0.0,0.01,0.06,86.0,64.0,8.4,626.0,Infinity Ward,1
Ridge Racer DS,DS,2004.0,Racing,Namco Bandai Games,0.14,0.0,0.0,0.01,0.15,63.0,35.0,6.7,7.0,Namco,0
The Sims 2,XB,2005.0,Simulation,Electronic Arts,0.19,0.05,0.0,0.01,0.25,75.0,31.0,7.1,8.0,Maxis,1
White Knight Chronicles: International Edition,PS3,2008.0,Role-Playing,Sony Computer Entertainment,0.33,0.16,0.36,0.08,0.93,64.0,77.0,7.5,213.0,Level 5,1
Madden NFL 09,PSP,2008.0,Sports,Electronic Arts,0.65,0.0,0.0,0.06,0.71,68.0,8.0,6.5,4.0,EA Tiburon,0
Radiant Historia,DS,2010.0,Role-Playing,Atlus,0.19,0.0,0.09,0.01,0.29,85.0,30.0,9,81.0,Atlus,3
Legend of Kay Anniversary,WiiU,2015.0,Action,Nordic Games,0.0,0.01,0.0,0.0,0.01,67.0,9.0,7.1,35.0,"Neon Studios, Kaiko",3
Ratchet & Clank: Going Commando,PS2,2003.0,Platform,Sony Computer Entertainment,1.44,0.83,0.26,0.25,2.78,-1.0,-1.0,-1,-1.0,-1,-1
Diablo III,XOne,2014.0,Role-Playing,Activision,0.36,0.24,0.0,0.06,0.66,-1.0,-1.0,-1,-1.0,-1,-1
XIII,GC,2003.0,Shooter,Ubisoft,0.07,0.02,0.0,0.0,0.09,73.0,27.0,7.7,20.0,Ubisoft Paris,2
Gyromite,NES,1985.0,Puzzle,Nintendo,0.73,0.16,0.4,0.03,1.32,-1.0,-1.0,-1,-1.0,-1,-1
Naruto: Clash of Ninja (JP sales),GC,2003.0,Fighting,Tomy Corporation,0.0,0.0,0.21,0.01,0.21,-1.0,-1.0,-1,-1.0,-1,-1
Defendin' De Penguin,DS,2008.0,Strategy,Zushi Games,0.02,0.0,0.0,0.0,0.02,-1.0,-1.0,-1,-1.0,-1,-1
Ultimate Spider-Man,DS,2005.0,Action,Activision,0.14,0.0,0.0,0.01,0.15,78.0,17.0,7.7,10.0,Vicarious Visions,3
Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,-1,0.12,0.04,0.0,0.0,0.17,-1.0,-1.0,-1,-1.0,-1,-1
Burnout 2: Point of Impact,PS2,2002.0,Racing,Acclaim Entertainment,0.42,0.32,0.0,0.11,0.85,86.0,31.0,8.2,48.0,Criterion Games,0
Skylanders Giants,PS3,2012.0,Action,Activision,0.36,0.49,0.0,0.2,1.06,77.0,21.0,6.3,18.0,Toys for Bob,3
Shaun White Snowboarding,X360,-1.0,Sports,Ubisoft,0.48,0.25,0.0,0.08,0.81,60.0,48.0,7.6,25.0,Ubisoft Montreal,1
Nobunaga no Yabou: Tendou,PS3,2010.0,Strategy,Tecmo Koei,0.0,0.0,0.13,0.0,0.13,-1.0,-1.0,-1,-1.0,-1,-1
Kenshuui Tendo Dokuta,DS,2004.0,Simulation,Spike,0.0,0.0,0.08,0.0,0.08,-1.0,-1.0,-1,-1.0,-1,-1
The Legend of Heroes: Trails in the Sky Third Chapter,PSV,2016.0,Role-Playing,Nihon Falcom Corporation,0.0,0.0,0.02,0.0,0.02,-1.0,-1.0,-1,-1.0,-1,-1
TOCA 2: Touring Cars,PS,1998.0,Racing,Codemasters,0.03,1.16,0.02,0.11,1.32,-1.0,-1.0,-1,-1.0,-1,-1
S.C.A.R.S,N64,1998.0,Racing,Ubisoft,0.05,0.01,0.0,0.0,0.06,-1.0,-1.0,-1,-1.0,-1,-1
DanceDanceRevolution II,Wii,-1.0,Misc,Konami Digital Entertainment,0.2,0.0,0.0,0.01,0.21,-1.0,-1.0,tbd,-1.0,Konami,3
NBA 2K11,PS2,2010.0,Action,Take-Two Interactive,0.34,0.01,0.0,0.06,0.41,-1.0,-1.0,tbd,-1.0,Visual Concepts,0
Aliens in the Attic,Wii,2009.0,Action,Playlogic Game Factory,0.07,0.0,0.0,0.01,0.08,-1.0,-1.0,tbd,-1.0,Revistronic,3
Battle of Giants: Dinosaurs,DS,2008.0,Strategy,Ubisoft,0.37,0.35,0.0,0.09,0.81,-1.0,-1.0,7.2,9.0,Ubisoft Quebec,0
FIFA Street 2,DS,2006.0,Sports,Electronic Arts,0.04,0.0,0.0,0.0,0.04,43.0,5.0,7.5,4.0,Exient Entertainment,0
Mirror's Edge Catalyst,XOne,2016.0,Platform,Electronic Arts,0.09,0.06,0.0,0.01,0.16,72.0,46.0,4.4,266.0,EA DICE,1
Meru Purana,PS,1996.0,Strategy,Gust,0.0,0.0,0.01,0.0,0.01,-1.0,-1.0,-1,-1.0,-1,-1
Roommate Asami: Okusama wa Joshikousei,PS2,2002.0,Adventure,Datam Polystar,0.0,0.0,0.02,0.0,0.02,-1.0,-1.0,-1,-1.0,-1,-1
Puyo Puyo!! 20th Anniversary,DS,2011.0,Puzzle,Sega,0.0,0.0,0.14,0.0,0.14,-1.0,-1.0,-1,-1.0,-1,-1
SSX 3,GBA,2003.0,Sports,Electronic Arts,0.09,0.03,0.0,0.0,0.12,63.0,14.0,tbd,-1.0,Visual Impact,0
Rally Fusion: Race of Champions,PS2,2002.0,Racing,Activision,0.06,0.05,0.0,0.02,0.13,73.0,19.0,tbd,-1.0,Climax Group,0
The Sims,PC,2000.0,Simulation,Electronic Arts,0.01,0.03,0.0,0.01,0.05,92.0,38.0,7.9,451.0,Maxis,1
F-Zero X,N64,1998.0,Racing,Nintendo,0.45,0.33,0.29,0.03,1.1,-1.0,-1.0,-1,-1.0,-1,-1
Atelier Meruru: Alchemist of Arland 3,PS3,2011.0,Role-Playing,Nippon Ichi Software,0.05,0.0,0.18,0.01,0.24,-1.0,-1.0,-1,-1.0,-1,-1
FIFA Soccer World Championship,PS2,2000.0,Sports,Electronic Arts,0.27,0.21,0.28,0.07,0.83,-1.0,-1.0,-1,-1.0,-1,-1
Press Your Luck 2010 Edition,DS,2009.0,Misc,Ubisoft,0.18,0.0,0.0,0.01,0.2,-1.0,-1.0,tbd,-1.0,Ludia Inc.,0
Splatoon,WiiU,2015.0,Shooter,Nintendo,1.54,1.18,1.46,0.26,4.43,81.0,88.0,8.5,1184.0,Nintendo,3
Star Wars Racer Revenge,PS2,2002.0,Racing,LucasArts,0.15,0.12,0.0,0.04,0.31,73.0,34.0,8.5,11.0,Rainbow Studios,0
Mahouka Koukou no Rettousei: Out of Order,PSV,2014.0,Adventure,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06,-1.0,-1.0,-1,-1.0,-1,-1
BeatMania Append 3rdMix,PS,1998.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.56,0.04,0.6,-1.0,-1.0,-1,-1.0,-1,-1
F.E.A.R.,PS3,2007.0,Shooter,Vivendi Games,0.18,0.26,0.0,0.1,0.54,72.0,31.0,7.4,64.0,Day 1 Studios,2
Tim Burton's The Nightmare Before Christmas: The Pumpkin King,GBA,2005.0,Platform,Disney Interactive Studios,0.1,0.04,0.0,0.0,0.14,71.0,5.0,5.5,6.0,TOSE,3
Pucca Power Up,DS,2011.0,Platform,Rising Star Games,0.04,0.01,0.0,0.0,0.05,-1.0,-1.0,tbd,-1.0,Rising Star Games,0
MVP Baseball 2003,XB,2003.0,Sports,Electronic Arts,0.15,0.04,0.0,0.01,0.2,82.0,18.0,9,9.0,EA Sports,0
Hitman: Contracts,PS2,2004.0,Shooter,Eidos Interactive,0.39,0.31,0.0,0.1,0.8,80.0,39.0,8.3,43.0,Io Interactive,2
Tetris Attack,SNES,1995.0,Puzzle,Nintendo,0.0,0.0,0.15,0.0,0.15,-1.0,-1.0,-1,-1.0,-1,-1
Move Fitness,PS3,-1.0,Sports,Sony Computer Entertainment,0.0,0.16,0.0,0.05,0.21,-1.0,-1.0,-1,-1.0,-1,-1
Spyborgs,Wii,2009.0,Action,Capcom,0.09,0.01,0.0,0.01,0.11,66.0,30.0,6.3,6.0,Bionic Games,1
Reversal Challenge,DS,2009.0,Misc,Tommo,0.02,0.0,0.0,0.0,0.02,-1.0,-1.0,tbd,-1.0,UFO Interactive,0
The Rise of the Argonauts,PC,2008.0,Role-Playing,Codemasters,0.0,0.01,0.0,0.0,0.01,-1.0,-1.0,-1,-1.0,-1,-1
Tales of Berseria,PS3,2016.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,-1.0,-1.0,-1,-1.0,-1,-1
Mega Man Star Force Dragon / Leo / Pegasus,DS,2006.0,Action,Capcom,0.39,0.0,0.53,0.03,0.95,-1.0,-1.0,-1,-1.0,-1,-1
Kimi ni Todoke: Sodateru Omoi,DS,2009.0,Adventure,Banpresto,0.0,0.0,0.02,0.0,0.02,-1.0,-1.0,-1,-1.0,-1,-1
Soccer Tsuku Tokudai Gou: J-League Pro Soccer Club o Tsukurou,DC,2000.0,Sports,Sega,0.0,0.0,0.18,0.0,0.18,-1.0,-1.0,-1,-1.0,-1,-1
Ben 10: Protector of Earth,DS,2007.0,Action,D3Publisher,0.68,0.82,0.0,0.19,1.7,-1.0,-1.0,-1,-1.0,-1,-1
Butt-Ugly Martians: Zoom or Doom!,PS2,2002.0,Racing,Vivendi Games,0.01,0.01,0.0,0.0,0.02,-1.0,-1.0,-1,-1.0,-1,-1
Mega Man Zero,GBA,2002.0,Platform,Capcom,0.22,0.08,0.24,0.01,0.55,82.0,17.0,8.9,31.0,Inti,0
Rune Factory: Tides of Destiny,PS3,2011.0,Role-Playing,Marvelous Interactive,0.14,0.0,0.07,0.02,0.23,55.0,12.0,7.9,44.0,Neverland,3
Lise no Atelier: Ordre no Renkinjutsushi,DS,2007.0,Role-Playing,Gust,0.0,0.0,0.04,0.0,0.04,-1.0,-1.0,-1,-1.0,-1,-1
Tom Clancy's Rainbow Six: Vegas,X360,2006.0,Shooter,Ubisoft,1.09,0.65,0.02,0.2,1.95,88.0,69.0,8.3,225.0,Ubisoft Montreal,2
FIFA Soccer 2002,GC,2001.0,Sports,Electronic Arts,0.14,0.04,0.0,0.0,0.18,81.0,13.0,8,9.0,EA Sports,0
Tetris 2 (All region sales),GB,1992.0,Puzzle,Nintendo,0.56,0.22,0.43,0.03,1.24,-1.0,-1.0,-1,-1.0,-1,-1
Smash Court Tennis 3,X360,2007.0,Sports,Atari,0.08,0.02,0.0,0.01,0.11,55.0,32.0,tbd,-1.0,Bandai Namco Games,0
Final Fantasy Anthology,PS,1999.0,Role-Playing,Square EA,0.45,0.3,0.0,0.05,0.8,80.0,14.0,8.1,28.0,SquareSoft,1
Rodea the Sky Soldier,3DS,2015.0,Action,Nippon Ichi Software,0.03,0.0,0.0,0.0,0.04,45.0,7.0,5.6,37.0,"Prope, Kadokawa",3
Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,95.0,96.0,9,2316.0,Rockstar San Diego,2
Pachinko Wars II,SNES,1993.0,Misc,Coconuts Japan,0.0,0.0,0.05,0.0,0.05,-1.0,-1.0,-1,-1.0,-1,-1
Scooby-Doo! Mystery Mayhem,GBA,2003.0,Action,THQ,0.31,0.12,0.0,0.01,0.44,53.0,6.0,tbd,-1.0,Artificial Mind and Movement,0
WWE SmackDown vs Raw 2008,DS,2007.0,Fighting,THQ,0.11,0.0,0.0,0.01,0.12,61.0,12.0,6.6,13.0,Amaze Entertainment,1
Gauntlet: Seven Sorrows,PS2,2005.0,Role-Playing,Midway Games,0.2,0.15,0.0,0.05,0.4,59.0,38.0,5.7,20.0,Midway,1
Dragon Ball Z: Supersonic Warriors 2,DS,2005.0,Fighting,Atari,0.13,0.02,0.32,0.02,0.49,66.0,13.0,7.6,28.0,Arc System Works,3
The Beatles: Rock Band,Wii,2009.0,Misc,MTV Games,1.17,0.39,0.0,0.15,1.71,89.0,25.0,8.9,43.0,Harmonix Music Systems,1
World Tour Soccer 06,PSP,2006.0,Sports,Sony Computer Entertainment,0.07,0.0,0.0,0.01,0.07,72.0,44.0,tbd,-1.0,SCEE London Studio,0
Otomedius Gorgeous,X360,2008.0,Shooter,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,-1.0,-1.0,-1,-1.0,-1,-1
"SpongeBob SquarePants: Lights, Camera, Pants!",GBA,2005.0,Misc,THQ,0.37,0.14,0.0,0.01,0.51,-1.0,-1.0,-1,-1.0,-1,-1
Madden NFL 2001,PS,2000.0,Sports,Electronic Arts,1.58,0.05,0.0,0.04,1.67,90.0,14.0,6.8,4.0,EA Sports,0
The Amazing Spider-Man 2 (2014),PS3,2014.0,Action,Activision,0.06,0.14,0.02,0.04,0.26,-1.0,-1.0,-1,-1.0,-1,-1
Barbie Fashion Show: An Eye for Style,DS,2008.0,Misc,Activision,0.18,0.0,0.0,0.01,0.19,-1.0,-1.0,-1,-1.0,-1,-1
Tomb Raider: Underworld,X360,2008.0,Action,Eidos Interactive,0.53,0.42,0.01,0.11,1.07,76.0,57.0,6.6,198.0,Crystal Dynamics,1
Disney Universe,Wii,2011.0,Action,Disney Interactive Studios,0.64,0.28,0.0,0.1,1.02,61.0,11.0,6,5.0,Eurocom Entertainment Software,3
Lode Runner 3-D,N64,1998.0,Action,Infogrames,0.08,0.02,0.0,0.0,0.1,-1.0,-1.0,-1,-1.0,-1,-1
Pokemon Mystery Dungeon: Red/Blue Rescue Team,GBA,2005.0,Role-Playing,Nintendo,0.71,0.52,0.74,0.08,2.06,-1.0,-1.0,-1,-1.0,-1,-1
Generator Rex: Agent of Providence,X360,2011.0,Action,Activision,0.05,0.01,0.0,0.0,0.06,-1.0,-1.0,4,6.0,Virtuos,3
NBA 2K10,X360,2009.0,Sports,Take-Two Interactive,0.88,0.02,0.0,0.08,0.97,82.0,46.0,7.6,34.0,Visual Concepts,0
SimCity (2013),PC,2013.0,Simulation,Electronic Arts,0.48,0.77,0.0,0.17,1.42,64.0,75.0,2.2,4572.0,Maxis,3
Cabela's Dangerous Hunts 2,XB,2005.0,Sports,Activision,0.08,0.02,0.0,0.0,0.11,63.0,4.0,tbd,-1.0,Sand Grain Studios,1
Great Phoenix Wright: Ace Attorney - Naruhodou Ryuunosuke no Bouken,3DS,2015.0,Action,Capcom,0.0,0.0,0.19,0.0,0.19,-1.0,-1.0,-1,-1.0,-1,-1
Charlie's Angels,GC,2003.0,Action,Ubisoft,0.01,0.0,0.0,0.0,0.02,23.0,21.0,3.3,23.0,Neko Entertainment,1
Silent Hill: Homecoming,X360,-1.0,Action,Konami Digital Entertainment,0.25,0.15,0.0,0.04,0.45,70.0,54.0,6.9,180.0,Double Helix Games,2
E.T.: The Extra Terrestrial,2600,1981.0,Action,Atari,1.84,0.11,0.0,0.02,1.97,-1.0,-1.0,-1,-1.0,-1,-1
Rock Band Track Pack: Classic Rock,Wii,2009.0,Misc,MTV Games,0.21,0.0,0.0,0.02,0.22,-1.0,-1.0,tbd,-1.0,Harmonix Music Systems,1
Jaws Unleashed,PS2,2006.0,Action,THQ,0.5,0.02,0.0,0.08,0.6,52.0,29.0,7.5,39.0,Appaloosa Interactive,2
Taiko no Tatsujin Wii: Ketteiban,Wii,2011.0,Misc,Namco Bandai Games,0.0,0.0,0.39,0.0,0.39,-1.0,-1.0,-1,-1.0,-1,-1
Ultimate Board Game Collection,PSP,2007.0,Misc,Xplosiv,0.06,0.0,0.0,0.01,0.07,57.0,6.0,tbd,-1.0,Jack of All Games,0
FIFA Soccer 06,PS2,2005.0,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21,80.0,32.0,7.8,47.0,EA Canada,0
The House of the Dead: Overkill,Wii,2009.0,Shooter,Sega,0.44,0.3,0.02,0.09,0.85,78.0,65.0,8.7,95.0,Headstrong Games,2
The Great Escape,PS2,2003.0,Action,SCi,0.1,0.07,0.0,0.02,0.2,57.0,19.0,8,21.0,Pivotal Games,1
Tony Hawk's Project 8,PSP,2006.0,Sports,Activision,0.41,0.07,0.0,0.07,0.56,68.0,11.0,7.6,14.0,Page 44 Studios,1
We Sing Pop!,Wii,2012.0,Misc,Nordic Games,0.05,0.15,0.0,0.02,0.22,-1.0,-1.0,-1,-1.0,-1,-1
Super Mario Strikers,GC,2005.0,Sports,Nintendo,0.98,0.38,0.2,0.04,1.61,76.0,39.0,8.7,55.0,Next Level Games,0
NHL Blades of Steel '99,N64,1999.0,Sports,Konami Digital Entertainment,0.05,0.0,0.0,0.0,0.05,-1.0,-1.0,-1,-1.0,-1,-1
SSX 3,GC,2003.0,Sports,Electronic Arts,0.29,0.08,0.0,0.01,0.38,92.0,27.0,8.7,45.0,EA Canada,0
My Hero: Doctor,DS,2009.0,Action,Majesco Entertainment,0.02,0.0,0.0,0.0,0.02,-1.0,-1.0,tbd,-1.0,"Majesco Games, Majesco",3
Madden NFL 12,X360,2011.0,Sports,Electronic Arts,2.42,0.11,0.0,0.16,2.69,78.0,55.0,5.9,94.0,EA Tiburon,0
I-Ninja,PS2,2003.0,Platform,Sony Computer Entertainment,0.19,0.15,0.0,0.05,0.4,73.0,39.0,8.3,22.0,Argonaut Games,1
Kelly Slater's Pro Surfer,GBA,2002.0,Sports,Activision,0.09,0.03,0.0,0.0,0.13,72.0,4.0,tbd,-1.0,HotGen,0
Donkey Konga 2,GC,2004.0,Misc,Nintendo,0.3,0.08,0.0,0.01,0.39,69.0,30.0,6,9.0,Namco,1
Shrek SuperSlam,GBA,2005.0,Action,Activision,0.24,0.09,0.0,0.01,0.33,58.0,4.0,tbd,-1.0,"Amaze Entertainment, Griptonite Games",3
Heroes of the Pacific,XB,2005.0,Simulation,Codemasters,0.1,0.03,0.0,0.0,0.13,76.0,33.0,8.2,5.0,IR Gurus Interactive Ltd.,1
The Legend of Zelda: A Link to the Past,GBA,2002.0,Action,Nintendo,1.75,0.52,0.33,0.1,2.7,95.0,30.0,9.1,314.0,Capcom,0
Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013.0,Fighting,Namco Bandai Games,0.32,0.32,0.15,0.15,0.93,77.0,32.0,7.9,187.0,CyberConnect2,1
Grand Ages: Medieval,PS4,2015.0,Strategy,Kalypso Media,0.0,0.05,0.02,0.01,0.07,64.0,10.0,7.1,12.0,Gaming Minds Studios,1
Hidden Mysteries: Vampire Secrets,DS,2010.0,Adventure,Astragon,0.06,0.11,0.0,0.02,0.18,-1.0,-1.0,tbd,-1.0,Gunnar Games,3
Forza Horizon 3,XOne,2016.0,Racing,Microsoft Game Studios,0.42,0.58,0.0,0.08,1.08,91.0,90.0,7.4,594.0,Playground Games,0
Just Dance 2016,PS4,2015.0,Misc,Ubisoft,0.17,0.13,0.0,0.06,0.36,73.0,10.0,6.8,20.0,Ubisoft,3
SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2006.0,Shooter,Sony Computer Entertainment,1.74,0.02,0.0,0.28,2.04,72.0,38.0,9,34.0,Zipper Interactive,1
Macross Triangle Frontier,PSP,2011.0,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,-1.0,-1.0,-1,-1.0,-1,-1
Kuon,PS2,2004.0,Adventure,Indie Games,0.01,0.01,0.0,0.0,0.02,57.0,20.0,7.7,9.0,From Software,2
Animal Planet: Vet Life,Wii,2009.0,Simulation,Activision,0.08,0.0,0.0,0.01,0.09,-1.0,-1.0,tbd,-1.0,"Activision, Activision Blizzard",0
Eyeshield 21: DevilBats DevilDays,GBA,2006.0,Role-Playing,Nintendo,0.0,0.0,0.03,0.0,0.03,-1.0,-1.0,-1,-1.0,-1,-1
TouchMaster 3(Others sales),DS,2009.0,Puzzle,Warner Bros. Interactive Entertainment,0.0,0.24,0.0,0.02,0.26,-1.0,-1.0,-1,-1.0,-1,-1
Pipe Dreams 3D,PS,2001.0,Puzzle,Empire Interactive,0.08,0.05,0.0,0.01,0.14,-1.0,-1.0,tbd,-1.0,Sick Puppies,0
Destiny,X360,2014.0,Shooter,Activision,1.31,0.43,0.0,0.18,1.92,-1.0,-1.0,4.7,504.0,Bungie,1
Angry Birds Star Wars,XOne,2013.0,Strategy,Activision,0.11,0.04,0.0,0.02,0.16,53.0,4.0,6.9,63.0,Exient Entertainment,0
Devil May Cry 4,PS3,2008.0,Action,Capcom,0.58,0.45,0.34,0.2,1.57,84.0,63.0,8.2,311.0,Capcom,2
Ouran Koukou Host Bu,PS2,2007.0,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02,-1.0,-1.0,-1,-1.0,-1,-1
Metal Gear Solid 3: Subsistence,PS2,2005.0,Action,Konami Digital Entertainment,0.34,0.01,0.15,0.06,0.55,94.0,53.0,9.3,439.0,Aspect,2
Loons: The Fight For Fame,XB,2002.0,Action,Atari,0.05,0.02,0.0,0.0,0.07,-1.0,-1.0,-1,-1.0,-1,-1
NCAA Football 2001,PS,2000.0,Sports,Electronic Arts,0.39,0.26,0.0,0.05,0.7,-1.0,-1.0,-1,-1.0,-1,-1
Taiko no Tatsujin: V Version,PSV,2015.0,Action,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,-1.0,-1.0,-1,-1.0,-1,-1
Shaman King: Chou Senjiryokketsu 3,GBA,2002.0,Role-Playing,King Records,0.0,0.0,0.02,0.0,0.02,-1.0,-1.0,-1,-1.0,-1,-1
